Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 17:05/DL0746/OP DL0746/Y/20200729 18:47/ATL~ATL/20200729 21:46/DL0795/OP DL0795/Y/20200729 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 17:05/DL0746/OP DL0746/Y/20200731 18:47/ATL~ATL/20200731 21:46/DL0795/OP DL0795/Y/20200731 23:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 11:50/DL2224/OP DL2224/Y/20200801 13:46/ATL~ATL/20200801 16:20/DL2328/OP DL2328/Y/20200801 18:04/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 11:50/DL2224/OP DL2224/Y/20200802 13:46/ATL~ATL/20200802 16:20/DL2328/OP DL2328/Y/20200802 18:04/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 13:25/DL2090/OP DL2090/Y/20200801 15:29/ATL~ATL/20200801 18:34/DL2319/OP DL2319/Y/20200801 20:13/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 17:55/DL2340/OP DL2340/Y/20200801 20:08/ATL~ATL/20200801 21:05/DL2702/OP DL2702/Y/20200801 22:47/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 15:25/DL2981/OP DL2981/Y/20200802 17:31/ATL~ATL/20200802 18:34/DL2319/OP DL2319/Y/20200802 20:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 17:55/DL2340/OP DL2340/Y/20200802 20:08/ATL~ATL/20200802 21:05/DL2702/OP DL2702/Y/20200802 22:47/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200726 07:00/DL2226/OP DL2226/Y/20200726 08:43/ATL~ATL/20200726 12:01/DL1813/OP DL1813/Y/20200726 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200727 07:00/DL2226/OP DL2226/Y/20200727 08:43/ATL~ATL/20200727 12:01/DL1813/OP DL1813/Y/20200727 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200728 07:00/DL2226/OP DL2226/Y/20200728 08:43/ATL~ATL/20200728 12:01/DL1813/OP DL1813/Y/20200728 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200729 07:00/DL2226/OP DL2226/Y/20200729 08:43/ATL~ATL/20200729 12:01/DL1813/OP DL1813/Y/20200729 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200730 07:00/DL2226/OP DL2226/Y/20200730 08:43/ATL~ATL/20200730 12:01/DL1813/OP DL1813/Y/20200730 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200731 07:00/DL2226/OP DL2226/Y/20200731 08:43/ATL~ATL/20200731 12:01/DL1813/OP DL1813/Y/20200731 13:35/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 07:45/DL2226/OP DL2226/Y/20200801 09:34/ATL~ATL/20200801 12:27/DL2251/OP DL2251/Y/20200801 14:08/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 17:55/DL2340/OP DL2340/Y/20200801 20:08/ATL~ATL/20200801 22:20/DL2433/OP DL2433/Y/20200801 23:59/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 07:45/DL2226/OP DL2226/Y/20200802 09:34/ATL~ATL/20200802 12:27/DL2251/OP DL2251/Y/20200802 14:08/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 13:25/DL2090/OP DL2090/Y/20200802 15:29/ATL~ATL/20200802 18:34/DL2319/OP DL2319/Y/20200802 20:20/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 15:25/DL2981/OP DL2981/Y/20200802 17:31/ATL~ATL/20200802 21:05/DL2702/OP DL2702/Y/20200802 22:47/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200802 17:55/DL2340/OP DL2340/Y/20200802 20:08/ATL~ATL/20200802 22:20/DL2433/OP DL2433/Y/20200802 23:59/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),standard~better,standard~standard,
IAD/20200801 05:45/DL2516/OP DL2516/Y/20200801 07:23/ATL~ATL/20200801 10:37/DL2362/OP DL2362/Y/20200801 12:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
IAD/20200802 05:45/DL2516/OP DL2516/Y/20200802 07:23/ATL~ATL/20200802 10:37/DL2362/OP DL2362/Y/20200802 12:15/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,BASIC ECONOMY,1 free & personal item,1st for USD30  - 2nd for USD40,At check-in or for a fee,Non-refundable,Free,31~31,standard legroom~standard legroom,no~no,TWO(0),better~better,standard~standard,
DCA/20200726 10:50/DL1788/OP DL1788/Y/20200726 12:29/ATL~ATL/20200726 14:36/DL2195/OP DL2195/Y/20200726 16:10/RSW-DL TAUNA0BQ EOU PUBLIC,105.74 USD,DL,,,,,,,~31,~standard legroom,~no,OTHER(0),~better,~standard,
