Itinerary,Total Amount,Carrier,Brand Name,Carry On Allowance,Checked Bag Allowance,Seat Selection,Cancellation,Advance Change,Seat Pitch,Seat Type,Direct Aisle Access,Portion Shelves,wifis_quality,fresh_foods_quality
IAD/20200729 18:20/UA0918/OP UA0918/Y/20200730 06:45/LHR~LHR/20200730 10:30/LH0903/OP LH0903/Y/20200730 13:05/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 18:20/UA0918/OP UA0918/Y/20200731 06:45/LHR~LHR/20200731 10:30/LH0903/OP LH0903/Y/20200731 13:05/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200728 18:20/UA0918/OP UA0918/Y/20200729 06:45/LHR~LHR/20200729 11:30/LH0905/OP LH0905/Y/20200729 14:05/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 18:20/UA0918/OP UA0918/Y/20200728 06:45/LHR~LHR/20200728 13:30/LH0907/OP LH0907/Y/20200728 16:05/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200728 18:20/UA0918/OP UA0918/Y/20200729 06:45/LHR~LHR/20200729 13:30/LH0907/OP LH0907/Y/20200729 16:05/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200729 18:20/UA0918/OP UA0918/Y/20200730 06:45/LHR~LHR/20200730 13:30/LH0907/OP LH0907/Y/20200730 16:05/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200730 18:20/UA0918/OP UA0918/Y/20200731 06:45/LHR~LHR/20200731 13:30/LH0907/OP LH0907/Y/20200731 16:05/FRA~FRA/20200731 18:10/LH0712/OP LH0712/Y/20200801 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200727 18:20/UA0918/OP UA0918/Y/20200728 06:45/LHR~LHR/20200728 08:30/LH0925/OP LH0925/Y/20200728 11:05/FRA~FRA/20200728 18:10/LH0712/OP LH0712/Y/20200729 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200728 18:20/UA0918/OP UA0918/Y/20200729 06:45/LHR~LHR/20200729 08:30/LH0925/OP LH0925/Y/20200729 11:05/FRA~FRA/20200729 18:10/LH0712/OP LH0712/Y/20200730 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
IAD/20200729 18:20/UA0918/OP UA0918/Y/20200730 06:45/LHR~LHR/20200730 08:30/LH0925/OP LH0925/Y/20200730 11:05/FRA~FRA/20200730 18:10/LH0712/OP LH0712/Y/20200731 11:25/ICN-UA QKX3OUTE SIP PUBLIC,1102.50 USD,UA,,,,,,,32~29~31,above average legroom~below average legroom~standard legroom,no~no~no,OTHER(0),standard~n/a~standard,standard~standard~standard,
